,tweet_id,name,rating,stage,text,retweet_count,favorite_count,breed,p_conf
0,891815181378084864,Archie,0.6,None,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,4195.0,25076.0,Chihuahua,0.716012
1,891689557279858688,Darla,0.65,None,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,8722.0,42239.0,Labrador_retriever,0.168086
2,891327558926688256,Franklin,0.6,None,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",9489.0,40381.0,basset,0.555712
3,891087950875897856,BarkWeek,0.65,None,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,3139.0,20248.0,Chesapeake_Bay_retriever,0.425595
4,890971913173991426,Jax,0.65,None,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",2093.0,11869.0,Appenzeller,0.34170300000000003
5,890729181411237888,None,0.65,None,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,19084.0,65654.0,Pomeranian,0.566142
6,890609185150312448,Zoey,0.65,None,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,4309.0,27810.0,Irish_terrier,0.487574
7,890240255349198849,Cassie,0.7,doggo,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,7489.0,31997.0,Pembroke,0.511319
8,890006608113172480,Koda,0.65,None,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,7409.0,30695.0,Samoyed,0.957979
9,889880896479866881,Bruno,0.65,None,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,5016.0,27835.0,French_bulldog,0.377417
10,889665388333682689,None,0.65,puppo,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,10159.0,48198.0,Pembroke,0.966327
11,889638837579907072,Ted,0.6,None,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,4587.0,27219.0,French_bulldog,0.99165
12,889531135344209921,Stuart,0.65,puppo,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,2256.0,15117.0,golden_retriever,0.953442
13,889278841981685760,Oliver,0.65,None,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,5487.0,25341.0,whippet,0.626152
14,888917238123831296,Jim,0.6,None,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,4544.0,29130.0,golden_retriever,0.714719
15,888804989199671297,Zeke,0.65,None,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,4388.0,25635.0,golden_retriever,0.46976
16,888554962724278272,Ralphus,0.65,None,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,3618.0,19942.0,Siberian_husky,0.700377
17,888078434458587136,Gerald,0.6,None,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,3531.0,21796.0,French_bulldog,0.995026
18,887705289381826560,Jeffrey,0.65,None,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,5446.0,30242.0,basset,0.821664
